,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1138,9930,中聯資源,"72,965",74,"3,292,468",45.20,45.20,45.05,45.15,+,0.05,45.10,1,45.15,16,15.46
1139,9931,欣高,"9,004",13,"355,406",39.30,39.65,39.30,39.65,-,0.1,39.60,2,39.65,2,21.67
1140,9933,中鼎,"2,216,332","1,475","85,149,420",38.35,38.80,38.20,38.50,+,0.2,38.45,6,38.50,42,22.78
1141,9934,成霖,"187,001",109,"2,734,414",14.60,14.70,14.55,14.60,-,0.05,14.60,5,14.65,1,17.38
1142,9935,慶豐富,"78,798",103,"1,478,559",18.95,18.95,18.60,18.70,-,0.3,18.70,1,18.75,10,18.89
1143,9937,全國,"4,344,897",65,"211,612,962",48.80,49.20,48.80,49.15, ,0.0,49.15,2,49.20,7,18.62
1144,9938,百和,"1,254,316","1,723","104,623,860",83.50,84.80,82.90,82.90,-,1.4,82.90,85,83.20,6,12.19
1145,9939,宏全,"826,797",712,"59,160,832",71.60,71.90,71.10,71.90,-,0.6,71.80,7,71.90,6,10.84
1146,9940,信義,"468,027",349,"16,086,634",34.35,34.50,34.25,34.40,-,0.1,34.30,5,34.40,12,11.06
1147,9941,裕融,"642,473","1,224","114,056,181",178.00,179.50,176.50,177.00,-,2.5,176.50,9,177.00,28,18.75
1148,9941A,裕融甲特,"70,000",18,"3,577,900",51.00,51.30,51.00,51.30,X,0.0,51.10,2,51.30,8,0.00
1149,9942,茂順,"173,779",152,"16,116,762",93.50,93.50,92.30,92.80,-,0.8,92.80,1,92.90,12,14.21
1150,9943,好樂迪,"99,267",129,"5,876,912",59.40,59.40,59.00,59.30,-,0.3,59.30,10,59.40,1,237.20
1151,9944,新麗,"114,583",78,"2,603,090",22.70,23.05,22.60,22.60,-,0.3,22.60,4,22.80,5,68.48
1152,9945,潤泰新,"4,534,236","5,483","300,939,988",66.50,66.90,66.00,66.00,-,1.0,66.00,331,66.10,15,9.31
1153,9946,三發地產,"102,929",68,"1,511,132",14.65,14.70,14.65,14.65,-,0.05,14.65,41,14.70,8,34.88
1154,9955,佳龍,"40,845",163,"695,738",17.05,17.15,16.95,17.00,-,0.05,16.95,5,17.00,5,0.00
1155,9958,世紀鋼,"1,851,427","1,867","209,839,488",114.50,115.00,112.00,112.50,-,3.0,112.50,14,113.00,23,18.66
